"trt","pop","fit_off","method","fit","metric","coast","pop_ord","trt_ord"
"TempWarm_16psu","VIK",-0.272695557591682,"cf","rel","weigh","West",2,3
"TempWarm_16psu","VAT",-0.643939393939394,"cf","rel","surv","West",1,3
"TempWarm_16psu","VAT",-12.1794590736155,"cf","rel","weigh","West",1,3
"TempWarm_16psu","VIK",-0.389538839131742,"cf","rel","len","West",2,3
"TempWarm_16psu","VAT",-0.618021990423547,"cf","rel","weigh","West",1,3
"TempWarm_16psu","VAT",-1.35607693282909,"cf","rel","len","West",1,3
"TempWarm_16psu","BAR",-0.537281146645233,"cf","rel","len","West",4,3
"TempWarm_16psu","VIK",0,"cf","rel","surv","West",2,3
"TempWarm_16psu","HOG",-0.266666666666666,"cf","rel","surv","West",3,3
"TempWarm_16psu","VIK",0,"cf","rel","surv","West",2,3
"TempWarm_16psu","VIK",4.18066578047535,"cf","rel","weigh","West",2,3
"TempWarm_16psu","VIK",-1.02066824892685,"cf","rel","len","West",2,3
"TempWarm_5psu","BJO",NA,"cf","rel","len","East",8,4
"TempWarm_5psu","HOR",NA,"cf","rel","len","East",7,4
"TempWarm_5psu","KAL",-0.75,"cf","rel","surv","East",6,4
"TempWarm_5psu","BJO",NA,"cf","rel","weigh","East",8,4
"TempWarm_5psu","HOR",-0.5,"cf","rel","surv","East",7,4
"TempWarm_5psu","BJO",-1,"cf","rel","surv","East",8,4
"TempWarm_5psu","KAL",-0.5,"cf","rel","surv","East",6,4
"TempWarm_5psu","BJO",-0.5,"cf","rel","surv","East",8,4
"TempWarm_5psu","KAL",-0.492136608782832,"cf","rel","len","East",6,4
"TempWarm_5psu","BJO",NA,"cf","rel","weigh","East",8,4
"TempWarm_5psu","BJO",NA,"cf","rel","len","East",8,4
"TempWarm_5psu","HOR",NA,"cf","rel","weigh","East",7,4
"TempWarm_5psu","KUR",-1,"cf","rel","surv","East",5,4
"TempWarm_5psu","HOR",NA,"cf","rel","len","East",7,4
"TempWarm_5psu","HOR",-1,"cf","rel","surv","East",7,4
"TempWarm_5psu","KUR",-0.333333333333333,"cf","rel","surv","East",5,4
"TempWarm_5psu","KUR",NA,"cf","rel","weigh","East",5,4
"TempWarm_5psu","HOR",NA,"cf","rel","weigh","East",7,4
"TempWarm_5psu","KUR",NA,"cf","rel","weigh","East",5,4
"TempWarm_5psu","KUR",NA,"cf","rel","len","East",5,4
"TempWarm_5psu","KAL",-2.79705077967419,"cf","rel","weigh","East",6,4
"TempWarm_5psu","KUR",NA,"cf","rel","len","East",5,4
"TempWarm_5psu","KAL",-0.303937436346886,"cf","rel","weigh","East",6,4
"TempWarm_5psu","KAL",-1.33245233239049,"cf","rel","len","East",6,4
